fdc_id,description,protein_g,fat_g,carbs_g,calories_kcal,fiber_g,sodium_mg,saturated_fat_g
169580,"Candies, truffles, prepared-from-recipe",6.21,33.76,44.88,510.0,2.5,68.0,18.488
167571,"Candies, white chocolate",5.87,32.09,59.24,539.0,0.2,90.0,19.412
172238,"Capers, canned",2.36,0.86,4.89,23.0,3.2,2348.0,0.233
171715,"Carambola, (starfruit), raw",1.04,0.33,6.73,31.0,2.8,2.0,0.019
171921,"Carbonated beverage, chocolate-flavored soda",0.0,0.0,10.7,42.0,0.0,4.0,0.0
173199,"Carbonated beverage, cream soda",0.0,0.0,13.3,51.0,0.0,12.0,0.0
175113,"Carbonated beverage, low calorie, other than cola or pepper, with sodium saccharin, without caffeine",0.0,0.0,0.1,0.0,0.0,16.0,0.0
169338,"Cardoon, cooked, boiled, drained, with salt",0.76,0.11,4.74,20.0,1.7,412.0,0.012
169982,"Cardoon, cooked, boiled, drained, without salt",0.76,0.11,5.33,22.0,1.7,176.0,0.012
169981,"Cardoon, raw",0.7,0.1,4.07,17.0,1.6,170.0,0.011
169800,"Caribou, bone marrow, raw (Alaska Native)",6.7,84.4,0.0,786.0,,,
169801,"Caribou, eye, raw (Alaska Native)",10.8,31.4,0.0,326.0,,,
168050,"Caribou, hind quarter meat, raw (Alaska Native)",22.63,3.37,0.0,122.0,0.0,52.0,1.27
169822,"Caribou, hind quarter, meat, cooked (Alaska Native)",28.81,4.82,0.0,159.0,0.0,45.0,1.88
168983,"Caribou, liver, raw (Alaska Native)",15.0,3.9,6.8,122.0,,,
167644,"Caribou, rump meat, half dried (Alaska Native)",52.06,5.23,0.0,255.0,0.0,390.0,1.55
168049,"Caribou, shoulder meat, dried (Alaska Native)",59.38,3.67,0.0,271.0,0.0,950.0,1.586
168985,"Caribou, tongue, raw (Alaska Native)",13.7,22.8,0.0,260.0,,,
173952,"Carissa, (natal-plum), raw",0.5,1.3,13.63,62.0,,3.0,
173755,Carob flour,4.62,0.65,88.88,222.0,39.8,35.0,0.09
170491,"Carrot juice, canned",0.95,0.15,9.28,40.0,0.8,66.0,0.027
170500,"Carrot, dehydrated",8.1,1.49,79.57,341.0,23.6,275.0,0.256
168568,"Carrots, baby, raw",0.64,0.13,8.24,35.0,2.9,78.0,0.023
168518,"Carrots, canned, no salt added, drained solids",0.64,0.19,5.54,25.0,1.5,42.0,0.036
169340,"Carrots, canned, no salt added, solids and liquids",0.59,0.14,5.36,23.0,1.8,34.0,0.024
170396,"Carrots, canned, regular pack, drained solids",0.64,0.19,5.54,25.0,1.5,242.0,0.036
170395,"Carrots, canned, regular pack, solids and liquids",0.58,0.14,5.37,23.0,1.8,240.0,0.025
169339,"Carrots, cooked, boiled, drained, with salt",0.76,0.18,8.22,35.0,3.0,302.0,0.037
170394,"Carrots, cooked, boiled, drained, without salt",0.76,0.18,8.22,35.0,3.0,58.0,0.03
168519,"Carrots, frozen, cooked, boiled, drained, with salt",0.58,0.68,7.73,37.0,3.3,295.0,0.132
169984,"Carrots, frozen, cooked, boiled, drained, without salt",0.58,0.68,7.73,37.0,3.3,59.0,0.12
169983,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",0.78,0.46,7.9,36.0,3.3,68.0,0.047
170393,"Carrots, raw",0.93,0.24,9.58,41.0,2.8,69.0,0.032
169985,"Cassava, raw",1.36,0.28,38.06,160.0,1.8,14.0,0.074
168556,Catsup,1.04,0.1,27.4,101.0,0.3,907.0,0.014
169381,"Catsup, low sodium",1.04,0.1,27.4,101.0,0.3,20.0,0.014
168994,"Cattail, Narrow Leaf Shoots (Northern Plains Indians)",1.18,0.0,5.14,25.0,4.5,109.0,
168520,"Cauliflower, cooked, boiled, drained, with salt",1.84,0.45,4.11,23.0,2.3,242.0,0.07
170397,"Cauliflower, cooked, boiled, drained, without salt",1.84,0.45,4.11,23.0,2.3,15.0,0.07
168521,"Cauliflower, frozen, cooked, boiled, drained, with salt",1.61,0.22,3.16,17.0,2.7,254.0,0.034
170399,"Cauliflower, frozen, cooked, boiled, drained, without salt",1.61,0.22,3.75,19.0,2.7,18.0,0.034
